id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
22366,369900000000,0,643.0,79,770,27139,0,6,6
20828,30000000000,0,70.0,79,770,27139,0,4,3
20830,31000000000,0,78.0,79,770,27139,0,6,6
20841,25000000000,0,111.0,79,778,27490,0,6,5
20843,9500000000,0,72.0,79,765,26914,0,4,5
20847,90000000000,0,450.0,79,760,26737,0,2,2
22685,32000000000,0,140.0,79,760,26743,0,20,21
20849,65000000000,0,170.0,79,765,26950,0,19,19
20851,12200000000,0,180.0,79,778,27490,0,5,5
20852,9500000000,0,115.0,79,778,27490,0,3,2
20857,7799000000,0,60.0,79,765,26905,0,3,0
22378,12900000000,0,500.0,79,764,26899,0,7,8
20859,25000000000,0,122.0,79,771,27163,0,3,2
22686,7000000000,0,150.0,79,765,26905,0,4,4
22687,58000000000,0,160.0,79,760,26743,0,5,5
20863,3500000000,0,61.0,79,764,26898,0,3,3
15870,120000000000,0,-1.0,79,778,27469,7,60,60
20864,2700000000,0,80.0,79,765,26905,0,0,0
20866,4500000000,0,36.0,79,764,26898,0,3,3
12360,6200000000,0,135.0,79,778,27490,0,3,2
22001,12300000000,0,180.0,79,775,27385,0,3,3
20872,410000000000,0,800.0,79,770,27139,0,8,5
20873,74999000000,0,297.0,79,778,27481,0,0,0
22002,16000000000,0,125.0,79,765,26929,0,5,6
22003,82000000000,0,129.0,79,760,26749,0,7,7
21928,160000000000,0,400.0,79,770,27127,0,3,3
12433,35000000000,0,141.0,1,4,145,0,12,14
22005,2500000000,0,58.0,79,764,26897,0,3,3
22006,17000000000,0,60.0,79,760,26737,0,4,4
12435,35000000000,0,141.0,1,4,145,6,12,14
20884,4400000000,0,-1.0,79,764,26878,0,0,0
20888,6990000000,0,160.0,79,765,26914,0,0,0
21930,58000000000,0,186.0,79,766,27004,0,3,3
20889,4500000000,0,-1.0,79,760,26761,0,4,4
12488,41000000000,0,150.0,1,4,148,0,5,6
21933,95000000000,0,160.0,79,770,27139,0,7,7
12481,5250000000,0,53.0,1,4,145,0,4,4
12482,5250000000,0,53.0,1,4,145,4,4,4
21934,175000000000,0,433.0,79,760,26758,0,7,7
12492,100000000000,0,395.0,1,4,145,7,6,9
12495,28000000000,0,45.0,1,1,19,6,4,5
12499,78000000000,0,458.0,1,4,145,4,4,5
12507,10000000000,0,126.0,79,778,27490,0,3,2
12508,12000000000,0,126.0,79,778,27490,0,3,2
12509,9900000000,0,128.0,79,778,27490,0,3,2
12510,10900000000,0,133.0,79,778,27490,0,3,2
12511,15000000000,0,138.0,79,778,27490,0,3,2
12512,31000000000,0,-1.0,79,778,27490,0,3,4
12513,5850000000,0,34.0,1,4,121,5,3,4
12514,32000000000,0,-1.0,79,778,27490,0,3,4
12515,41999000000,0,-1.0,79,778,27490,0,4,4
20896,16500000000,0,500.0,79,765,26908,0,6,0
12517,42000000000,0,-1.0,79,778,27490,0,4,4
15929,28000000000,0,108.0,79,778,27490,0,6,7
12519,9650000000,0,-1.0,79,778,27490,0,3,2
12520,7000000000,0,140.0,79,778,27490,21,3,3
23376,7000000000,0,88.0,79,764,26875,0,2,2
12531,18900000000,0,79.0,1,4,121,0,4,5
12557,9700000000,0,35.0,1,6,199,5,4,4
23814,950000000,0,110.0,79,767,27019,0,2,2
12535,5250000000,0,28.0,1,3,97,4,4,2
20903,110000000000,0,300.0,79,760,26737,0,6,6
12540,26000000000,0,118.0,1,4,121,0,0,0
12546,4800000000,0,104.0,79,786,27643,6,3,2
12550,6900000000,0,62.0,1,4,145,5,4,5
12553,15500000000,0,52.0,1,4,139,7,4,6
23094,100000000000,0,240.0,79,770,27139,0,9,9
20907,125000000000,0,212.0,79,760,26758,0,7,7
21935,4200000000,0,100.0,79,764,26884,0,4,2
12581,3450000000,0,88.0,79,778,27490,0,3,2
23095,28000000000,0,84.0,79,760,26740,0,2,2
20921,140000000000,0,350.0,79,770,27139,0,3,3
12608,2000000000,0,1600.0,79,776,27400,10,1,1
