,price,area,province,district,ward,floor,bedroom,toilet
14709,6700000000,115.0,79,778,27490,0,3,2
14711,12800000000,146.0,79,778,27490,0,3,2
14712,7300000000,52.0,79,775,27346,0,6,3
14713,7200000000,105.0,79,778,27490,0,3,2
14716,4800000000,92.0,79,765,26929,0,2,2
14720,7700000000,200.0,79,778,27472,0,4,5
14721,6100000000,120.0,79,764,26884,0,3,2
14722,3700000000,31.0,79,764,26882,0,2,2
14724,11900000000,100.0,79,764,26899,0,6,6
14725,10200000000,112.0,79,764,26875,0,4,4
14727,7900000000,66.0,79,775,27349,0,0,0
14729,8100000000,71.0,79,764,26882,0,6,6
14730,5200000000,150.0,79,786,27643,0,3,3
14731,14900000000,275.0,79,770,27130,0,5,5
14733,5600000000,250.0,79,767,27019,0,5,5
14734,6400000000,103.0,79,778,27490,0,3,2
14736,7000000000,112.0,79,764,26881,0,5,5
14738,2900000000,76.0,79,775,27349,0,3,2
14739,6800000000,65.0,79,766,26992,0,2,2
14740,3900000000,40.0,79,764,26884,0,2,2
14741,5800000000,140.0,79,771,27172,0,3,3
14742,12600000000,134.0,79,778,27490,0,3,2
14744,7600000000,175.0,79,770,27145,0,5,5
14745,6000000000,52.0,79,764,26882,0,4,5
14746,11100000000,137.0,79,778,27490,0,3,2
14747,4800000000,62.0,79,764,26882,0,3,4
14748,2000000000,74.0,79,776,27430,0,2,2
14749,3300000000,85.0,79,765,26920,0,4,4
14755,2400000000,82.0,79,767,27025,0,2,2
14757,12200000000,147.0,79,778,27490,0,3,2
14758,3700000000,34.0,79,764,26882,0,2,2
14759,3800000000,105.0,79,765,26917,0,3,2
14760,6200000000,87.0,79,761,26787,0,6,6
14761,7700000000,300.0,79,776,27430,0,3,3
14764,4900000000,42.0,79,764,26899,0,3,4
14765,7300000000,150.0,79,775,27385,0,2,2
14767,10800000000,145.0,79,778,27490,0,3,2
14770,5000000000,52.0,79,764,26899,0,3,3
14771,6300000000,112.0,79,778,27490,0,3,2
14774,6100000000,112.0,79,778,27490,0,3,2
14776,9100000000,122.0,79,761,26787,0,4,4
14779,10700000000,82.0,79,775,27349,0,6,3
14780,13500000000,126.0,79,767,27019,0,1,1
14784,8400000000,200.0,79,765,26914,0,4,4
14786,12200000000,147.0,79,778,27490,0,3,2
14789,11800000000,320.0,79,778,27481,0,5,5
14790,6100000000,150.0,79,786,27643,0,4,5
14791,13500000000,240.0,79,770,27130,0,6,8
14793,2400000000,62.0,79,772,27253,0,3,3
14795,5000000000,76.0,79,764,26884,0,4,4
14796,6000000000,52.0,79,764,26882,0,4,5
14797,8600000000,130.0,79,778,27490,0,3,2
14802,3400000000,32.0,79,764,26882,0,2,2
14803,3900000000,48.0,79,764,26884,0,2,2
14805,8400000000,117.0,79,765,26956,0,3,2
14806,13400000000,150.0,79,778,27490,0,3,2
14807,11600000000,180.0,79,775,27346,0,3,1
14811,2800000000,48.0,79,766,26974,0,2,2
14812,6600000000,150.0,79,778,27481,0,4,3
14815,4800000000,43.0,79,764,26881,0,4,4
14817,2200000000,74.0,79,776,27430,0,2,2
14818,10100000000,195.0,79,778,27490,0,4,3
14821,12100000000,186.0,79,778,27469,0,2,2
14822,4100000000,39.0,79,764,26898,0,4,4
14824,5700000000,100.0,79,778,27490,0,3,2
14826,3500000000,32.0,79,764,26881,0,2,2
14827,3300000000,71.0,79,778,27490,0,3,2
14828,9600000000,200.0,79,786,27643,0,5,5
14831,3400000000,84.0,79,775,27385,0,2,3
14832,15900000000,450.0,79,775,27358,0,6,6
14836,7000000000,118.0,79,778,27490,0,3,2
14838,4000000000,80.0,79,786,27643,0,0,0
14841,10500000000,146.0,79,778,27490,0,3,2
14842,8600000000,240.0,79,778,27481,0,5,5
14843,13800000000,350.0,79,775,27385,0,4,5
14844,3500000000,69.0,79,778,27490,0,2,2
14845,9500000000,196.0,79,775,27358,0,4,4
14848,13100000000,102.0,79,764,26875,0,4,4
14849,4200000000,80.0,79,770,27127,0,4,6
14850,12000000000,300.0,79,770,27130,0,8,8
14854,3500000000,30.0,79,764,26882,0,2,2
14855,5300000000,118.0,79,778,27490,0,3,2
14856,3800000000,28.0,79,764,26882,0,2,2
14857,14000000000,196.0,79,775,27364,0,5,6
14860,8400000000,170.0,79,770,27130,0,3,5
14862,5700000000,40.0,79,764,26882,0,3,4
14864,3200000000,72.0,79,764,26884,0,2,2
14865,4200000000,74.0,79,778,27490,0,3,2
14866,5900000000,38.0,79,764,26898,0,3,5
14868,3100000000,60.0,79,765,26914,0,0,0
14869,5400000000,170.0,79,786,27643,0,4,5
14872,7000000000,55.0,79,764,26875,0,4,4
14873,6000000000,118.0,79,778,27490,0,3,2
14874,5900000000,100.0,79,778,27490,0,3,2
14877,6600000000,60.0,79,764,26881,0,4,4
14878,6600000000,77.0,79,764,26875,0,2,2
14880,5100000000,44.0,79,764,26882,0,4,4
14883,5100000000,120.0,79,767,27025,0,3,4
14884,3800000000,50.0,79,786,27643,0,0,0
14885,5600000000,112.0,79,778,27490,0,3,2
14888,12700000000,400.0,79,776,27427,0,5,3
14889,6100000000,118.0,79,778,27490,0,3,2
14890,6100000000,72.0,79,761,26776,0,4,4
14892,9000000000,124.0,79,778,27490,0,3,2
14894,11600000000,124.0,79,778,27490,0,3,2
14895,4300000000,60.0,79,761,26788,0,2,2
14897,10700000000,179.0,79,786,27643,0,3,2
14898,8400000000,240.0,79,766,27004,0,3,3
14899,6100000000,52.0,79,764,26869,0,4,5
14900,5800000000,112.0,79,778,27490,0,3,2
14904,10100000000,195.0,79,778,27490,0,4,3
14905,8900000000,240.0,79,778,27481,0,5,5
14908,13600000000,109.0,79,764,26876,0,4,4
14911,2800000000,60.0,79,770,27136,0,3,3
14912,6400000000,56.0,79,764,26869,0,4,5
14915,3800000000,31.0,79,764,26882,0,2,2
14916,6000000000,157.0,79,786,27643,0,4,5
14917,8500000000,100.0,79,766,26983,0,2,2
14918,27000000000,240.0,79,778,27490,0,4,4
14919,11800000000,1359.0,79,783,27496,0,0,0
14920,10800000000,250.0,79,786,27643,0,4,2
14921,6600000000,240.0,79,764,26869,0,5,4
14922,4100000000,52.0,79,764,26881,0,2,2
14924,5800000000,55.0,79,764,26881,0,6,6
14925,3600000000,29.0,79,764,26882,0,3,3
14927,4100000000,38.0,79,764,26898,0,4,3
14928,5500000000,150.0,79,786,27643,0,4,5
14930,7900000000,112.0,79,778,27490,0,3,4
14931,4900000000,150.0,79,778,27472,0,3,3
14935,3800000000,37.0,79,764,26881,0,2,2
14936,9300000000,196.0,79,772,27226,0,4,4
14937,4300000000,34.0,79,764,26881,0,3,3
14938,8700000000,320.0,79,786,27643,0,4,5
14939,5000000000,200.0,79,775,27346,0,4,3
14941,9000000000,200.0,79,778,27481,0,5,5
14942,6200000000,118.0,79,778,27490,0,3,2
14944,3500000000,86.0,79,764,26884,0,2,2
14945,13500000000,100.0,79,765,26905,0,4,5
14946,6700000000,64.0,79,764,26882,0,4,5
14947,5000000000,64.0,79,761,26776,0,4,2
14948,17400000000,140.0,79,778,27472,0,3,2
14949,1900000000,40.0,79,775,27346,0,2,2
14951,2500000000,48.0,79,770,27139,0,3,3
14952,7800000000,256.0,79,764,26869,0,4,5
14955,4600000000,44.0,79,764,26881,0,3,3
14958,2900000000,50.0,79,774,27310,0,4,5
14959,5100000000,100.0,79,765,26950,0,2,2
14961,8900000000,140.0,79,778,27469,0,5,3
14963,3000000000,44.0,79,771,27178,0,2,2
14964,6700000000,120.0,79,778,27481,0,3,2
14965,5800000000,55.0,79,764,26881,0,6,6
14968,4600000000,47.0,79,764,26882,0,3,2
14971,4100000000,72.0,79,761,26788,0,0,0
14972,5500000000,52.0,79,764,26899,0,3,3
14974,6000000000,52.0,79,764,26882,0,4,3
14975,10700000000,169.0,79,772,27217,0,3,2
14976,4900000000,120.0,79,764,26881,0,4,4
14977,13000000000,160.0,79,778,27481,0,2,0
14978,2100000000,45.0,79,767,27031,0,2,1
14980,7800000000,194.0,79,764,26878,0,5,5
14983,13700000000,192.0,79,778,27490,0,3,2
14984,6700000000,62.0,79,764,26882,0,4,5
14985,6200000000,116.0,79,778,27490,0,3,2
14986,11100000000,143.0,79,778,27490,0,3,0
14987,1100000000,59.0,79,773,27277,0,4,2
14989,10000000000,62.0,79,765,26908,0,3,4
14990,3500000000,69.0,79,778,27490,0,2,2
14991,7200000000,190.0,79,761,26782,0,4,3
14992,17800000000,162.0,79,765,26920,0,6,7
14993,2600000000,60.0,79,764,26882,0,2,2
14994,10900000000,938.0,79,783,27496,0,0,0
14995,5100000000,100.0,79,778,27490,0,2,2
14996,4500000000,44.0,79,764,26884,0,2,2
14997,7000000000,220.0,79,786,27643,0,3,3
14998,6200000000,150.0,79,786,27643,0,4,5
14999,5200000000,110.0,79,778,27490,0,2,2
15002,11200000000,147.0,79,778,27490,0,3,2
15003,5500000000,120.0,79,765,26920,0,3,3
15004,6200000000,60.0,79,764,26899,0,3,3
15005,3800000000,69.0,79,778,27490,0,2,2
15007,14800000000,100.0,79,760,26758,0,1,1
15008,10100000000,143.0,79,778,27490,0,3,2
15009,9300000000,270.0,79,764,26899,0,4,4
15011,5300000000,136.0,79,784,27559,0,3,3
15013,5400000000,150.0,79,786,27643,0,4,4
15014,8500000000,80.0,79,764,26876,0,3,3
15019,7800000000,149.0,79,764,26875,0,6,5
15020,11200000000,369.0,79,786,27643,0,4,6
15021,10900000000,380.0,79,764,26878,0,7,8
15023,6900000000,64.0,79,772,27217,0,2,2
15025,16300000000,125.0,79,764,26881,0,17,17
15026,2400000000,60.0,79,771,27178,0,3,3
15027,6800000000,113.0,79,784,27574,0,1,1
15028,11500000000,200.0,79,765,26962,0,0,0
15030,9400000000,240.0,79,778,27472,0,5,6
15033,7200000000,240.0,79,764,26882,0,4,5
15034,3800000000,133.0,79,786,27643,0,4,3
15035,7400000000,150.0,79,765,26953,0,3,3
15037,5500000000,200.0,79,761,26782,0,4,5
15038,7000000000,180.0,79,786,27643,0,4,5
15039,4600000000,60.0,79,764,26881,0,2,2
15040,7600000000,118.0,79,778,27490,0,3,1
15042,8300000000,300.0,79,767,27019,0,5,6
15043,2800000000,30.0,79,764,26881,0,2,2
15044,9000000000,710.0,79,783,27496,0,0,0
15045,5100000000,65.0,79,764,26878,0,4,3
15046,169100000000,330.0,79,786,27643,0,4,5
15047,7100000000,204.0,79,764,26881,0,4,4
15048,2800000000,80.0,79,786,27643,0,2,2
15052,8200000000,724.0,79,783,27496,0,0,0
15053,9800000000,1000.0,79,783,27496,0,0,0
15054,3900000000,40.0,79,764,26884,0,2,2
15055,9200000000,102.0,79,766,27007,0,3,2
15058,9300000000,70.0,79,764,26881,0,4,6
15060,2900000000,70.0,79,772,27217,0,3,2
15061,7000000000,92.0,79,764,26881,0,2,1
15062,8400000000,135.0,79,778,27490,0,3,3
15063,12900000000,240.0,79,761,26782,0,3,4
15064,5800000000,80.0,79,765,26935,0,2,3
15065,3800000000,74.0,79,778,27490,0,3,2
15067,4100000000,44.0,79,770,27145,0,4,5
15069,5700000000,55.0,79,764,26897,0,4,5
15070,4900000000,45.0,79,764,26899,0,3,3
15073,13700000000,165.0,79,778,27472,0,6,5
15074,2700000000,97.0,79,775,27364,0,2,2
15075,13300000000,151.0,79,778,27490,0,3,2
15076,7100000000,150.0,79,761,26788,0,1,1
15077,11500000000,101.0,79,764,26899,0,5,4
15078,11500000000,1135.0,79,783,27496,0,0,0
15079,8400000000,320.0,79,786,27643,0,4,5
15080,14000000000,158.0,79,778,27481,0,2,2
15081,11500000000,360.0,79,778,27481,0,7,8
15082,6000000000,120.0,79,765,26950,0,3,3
15083,11200000000,101.0,79,764,26878,0,4,5
15085,8100000000,135.0,79,778,27490,0,3,3
15086,4300000000,225.0,79,783,27556,0,0,0
15087,14800000000,279.0,79,766,26992,0,5,5
15088,7300000000,68.0,79,764,26884,0,4,5
15089,7700000000,204.0,79,764,26882,0,4,4
15090,13100000000,81.0,79,775,27349,0,6,3
15091,11100000000,340.0,79,778,27481,0,4,5
15092,6800000000,140.0,79,778,27481,0,3,3
15093,5000000000,35.0,79,764,26897,0,3,3
15094,6900000000,56.0,79,764,26881,0,4,5
15095,12200000000,300.0,79,778,27469,0,16,16
15096,5400000000,100.0,79,778,27490,0,3,2
15097,10500000000,320.0,79,764,26897,0,4,5
15098,8600000000,180.0,79,765,26905,0,4,5
15099,2900000000,69.0,79,778,27490,0,2,1
15100,22700000000,400.0,79,786,27643,0,4,5
15104,2500000000,40.0,79,764,26881,0,2,2
15105,11300000000,296.0,79,772,27217,0,4,5
15106,6600000000,65.0,79,764,26898,0,4,5
15107,2900000000,32.0,79,764,26884,0,2,2
15111,2000000000,74.0,79,776,27430,0,2,2
15112,3900000000,29.0,79,764,26882,0,3,3
15113,9600000000,248.0,79,786,27643,0,4,5
15114,6700000000,118.0,79,778,27490,0,3,2
15118,3400000000,43.0,79,764,26884,0,3,2
15119,6200000000,144.0,79,764,26881,0,3,3
15121,6900000000,200.0,79,786,27643,0,4,5
15123,3900000000,33.0,79,764,26878,0,2,2
15124,3900000000,150.0,79,764,26878,0,3,4
15125,6600000000,200.0,79,786,27643,0,4,5
15127,4100000000,36.0,79,764,26876,0,0,0
15128,6500000000,118.0,79,778,27490,0,3,2
15129,12700000000,150.0,79,778,27472,0,2,2
15130,8500000000,143.0,79,778,27490,0,1,2
15132,3600000000,48.0,79,764,26882,0,2,3
15133,6600000000,60.0,79,764,26875,0,4,5
15134,10400000000,190.0,79,761,26782,0,1,1
15137,4300000000,41.0,79,764,26899,0,3,2
15138,6900000000,200.0,79,786,27643,0,4,5
15140,14100000000,310.0,79,764,26881,0,8,9
15141,4100000000,96.0,79,771,27163,0,4,4
15143,3800000000,45.0,79,764,26881,0,2,3
15144,4100000000,52.0,79,764,26897,0,2,3
15145,16200000000,400.0,79,778,27469,0,12,12
15146,6600000000,76.0,79,764,26875,0,2,1
15147,3300000000,100.0,79,786,27643,0,3,2
15149,5500000000,150.0,79,786,27643,0,4,5
15150,12300000000,100.0,79,766,26992,0,6,6
15151,2500000000,48.0,79,765,26908,0,3,3
15153,12000000000,55.0,79,766,27004,0,10,10
15154,9000000000,85.0,79,764,26882,0,4,5
15157,5000000000,80.0,79,764,26869,0,5,16
15158,13200000000,1400.0,79,786,27643,0,0,0
15161,6800000000,52.0,79,764,26881,0,3,5
15162,2200000000,70.0,79,774,27328,0,3,3
15163,6700000000,166.0,79,778,27472,0,4,5
15166,3100000000,60.0,79,764,26881,0,3,4
15167,8100000000,260.0,79,786,27643,0,4,4
15168,5700000000,50.0,79,764,26882,0,4,4
15170,6300000000,58.0,79,764,26898,0,4,5
15172,9800000000,300.0,79,778,27469,0,18,18
15173,4300000000,60.0,79,764,26882,0,2,2
15174,10300000000,146.0,79,778,27490,0,3,2
